game_id,venue,venue_time_zone_tz
2014020476,Joe Louis Arena,EDT
2014021139,American Airlines Center,CDT
2014020887,Nassau Coliseum,EDT
2014020165,PNC Arena,EDT
2014021095,Amalie Arena,EDT
2014020215,Madison Square Garden,EDT
2014020174,Wells Fargo Center,EDT
2014020344,Air Canada Centre,EDT
2014020523,Gila River Arena,MST
2014020170,Rogers Arena,PDT
2014020494,Madison Square Garden,EDT
2014021131,PNC Arena,EDT
2014020112,Scottrade Center,CDT
2014020637,MTS Centre,CDT
2014020461,United Center,CDT
2014020628,Verizon Center,EDT
2014021023,Nassau Coliseum,EDT
2014020216,United Center,CDT
2014020967,Joe Louis Arena,EDT
2014020335,Verizon Center,EDT
2014020543,Rexall Place,MDT
2014020825,Joe Louis Arena,EDT
2014020410,Prudential Center,EDT
2014020558,First Niagara Center,EDT
2014021225,Amalie Arena,EDT
2014020924,Bridgestone Arena,CDT
2014020234,PNC Arena,EDT
2014020805,MTS Centre,CDT
2014021058,MTS Centre,CDT
2014020031,Rogers Arena,PDT
2014020703,BB&T Center,EDT
2014020095,Scottrade Center,CDT
2014020143,BB&T Center,EDT
2014020251,First Niagara Center,EDT
2014020388,MTS Centre,CDT
2014020762,BB&T Center,EDT
2014020371,STAPLES Center,PDT
2014020776,First Niagara Center,EDT
2014020313,Nassau Coliseum,EDT
2014020021,Amalie Arena,EDT
2014020706,Rexall Place,MDT
2014020323,First Niagara Center,EDT
2014020103,Pepsi Center,MDT
2014020688,Amalie Arena,EDT
2014020545,MTS Centre,CDT
2014020153,TD Garden,EDT
2014020525,Scotiabank Saddledome,MDT
2014020561,PNC Arena,EDT
2014020204,Air Canada Centre,EDT
2014021181,BB&T Center,EDT
2014020863,Verizon Center,EDT
2014020629,STAPLES Center,PDT
2014020026,Scottrade Center,CDT
2014020019,Air Canada Centre,EDT
2014021001,Scotiabank Saddledome,MDT
2014020645,First Niagara Center,EDT
2014020672,CONSOL Energy Center,EDT
2014021042,Prudential Center,EDT
2014020848,CONSOL Energy Center,EDT
2014020788,Amalie Arena,EDT
2014020789,Madison Square Garden,EDT
2014020798,First Niagara Center,EDT
2014020051,CONSOL Energy Center,EDT
2014020530,Prudential Center,EDT
2014020285,American Airlines Center,CDT
2014020952,MTS Centre,CDT
2014020235,Centre Bell,EDT
2014020241,STAPLES Center,PDT
2014020436,Wells Fargo Center,EDT
2014020892,Prudential Center,EDT
2014020696,SAP Center at San Jose,PDT
2014021187,Xcel Energy Center,CDT
2014020504,Prudential Center,EDT
2014020572,American Airlines Center,CDT
2014021017,Scotiabank Saddledome,MDT
2014020610,Amalie Arena,EDT
2014020114,Xcel Energy Center,CDT
2014020956,TD Garden,EDT
2014020962,Gila River Arena,MST
2014020842,Pepsi Center,MDT
2014020064,Centre Bell,EDT
2014020005,First Niagara Center,EDT
2014020580,Pepsi Center,MDT
2014020222,Madison Square Garden,EDT
2014020033,Madison Square Garden,EDT
2014020319,American Airlines Center,CDT
2014020886,First Niagara Center,EDT
2014020294,Rexall Place,MDT
2014020408,Scottrade Center,CDT
2014020036,First Niagara Center,EDT
2014021047,United Center,CDT
2014020727,Centre Bell,EDT
2014020596,Scotiabank Saddledome,MDT
2014021068,STAPLES Center,PDT
2014021056,BB&T Center,EDT
2014020534,Amalie Arena,EDT
2014021209,Bridgestone Arena,CDT
2014020141,Canadian Tire Centre,EDT
2014020588,Xcel Energy Center,CDT
2014020364,CONSOL Energy Center,EDT
2014020869,Scottrade Center,CDT
2014020060,MTS Centre,CDT
2014020626,Honda Center,PDT
2014021108,Joe Louis Arena,EDT
2014020814,Bridgestone Arena,CDT
2014020376,CONSOL Energy Center,EDT
2014021179,STAPLES Center,PDT
2014020864,Centre Bell,EDT
2014020623,SAP Center at San Jose,PDT
2014020107,Air Canada Centre,EDT
2014021195,Scottrade Center,CDT
2014021106,Air Canada Centre,EDT
2014020162,Xcel Energy Center,CDT
2014020144,Scottrade Center,CDT
2014020885,United Center,CDT
2014021100,Scotiabank Saddledome,MDT
2014021109,Amalie Arena,EDT
2014020067,Prudential Center,EDT
2014020094,Joe Louis Arena,EDT
2014020020,Joe Louis Arena,EDT
2014020370,SAP Center at San Jose,PDT
2014020612,Rexall Place,MDT
2014020726,Honda Center,PDT
2014020760,Wells Fargo Center,EDT
2014020995,Canadian Tire Centre,EDT
2014020594,Air Canada Centre,EDT
2014021185,First Niagara Center,EDT
2014020233,Madison Square Garden,EDT
2014020359,Pepsi Center,MDT
2014021018,Wells Fargo Center,EDT
2014020400,Gila River Arena,MST
2014020701,Nationwide Arena,EDT
2014020583,MTS Centre,CDT
2014020219,PNC Arena,EDT
2014020942,Prudential Center,EDT
2014020155,Amalie Arena,EDT
2014020321,Rogers Arena,PDT
2014020616,Centre Bell,EDT
2014020922,Honda Center,PDT
2014020040,Verizon Center,EDT
2014021031,Nationwide Arena,EDT
2014020121,Rogers Arena,PDT
2014020702,Centre Bell,EDT
2014020658,United Center,CDT
2014020992,Wells Fargo Center,EDT
2014020764,American Airlines Center,CDT
2014020938,Rogers Arena,PDT
2014020655,PNC Arena,EDT
2014020105,Honda Center,PDT
2014021046,MTS Centre,CDT
2014020966,Canadian Tire Centre,EDT
2014021078,Rexall Place,MDT
2014020509,Amalie Arena,EDT
2014020959,Amalie Arena,EDT
2014021098,Wells Fargo Center,EDT
2014020893,Honda Center,PDT
2014021057,Xcel Energy Center,CDT
2014020038,Madison Square Garden,EDT
2014020158,Madison Square Garden,EDT
2014020065,Canadian Tire Centre,EDT
2014020844,Rogers Arena,PDT
2014020857,Rexall Place,MDT
2014020559,Prudential Center,EDT
2014020736,Scotiabank Saddledome,MDT
2014020624,Rexall Place,MDT
